week_start,week,year,clicks,impressions,ctr,position
NA,NA,NA,196,16111,0.012175,7.3675
NA,NA,NA,265,27845,0.009171428571,8.325714286
NA,NA,NA,277,30141,0.009014285714,8.301428571
NA,NA,NA,259,34796,0.007157142857,7.61
NA,NA,NA,299,34482,0.008342857143,6.83
NA,NA,NA,290,33588,0.008371428571,8.851428571
NA,NA,NA,322,32242,0.009914285714,6.891428571
NA,NA,NA,302,30437,0.009571428571,7.314285714
NA,NA,NA,283,29865,0.0092,7.222857143
NA,NA,NA,275,35330,0.007542857143,5.748571429
NA,NA,NA,308,36008,0.008214285714,4.844285714
NA,NA,NA,277,34928,0.007757142857,5.187142857
NA,NA,NA,229,32320,0.0069,5.144285714
NA,NA,NA,161,25416,0.006385714286,4.711428571
NA,NA,NA,183,23629,0.007128571429,4.85
NA,NA,NA,245,29987,0.007928571429,4.375714286
NA,NA,NA,259,30699,0.008271428571,4.267142857
NA,NA,NA,276,31073,0.008557142857,4.532857143
NA,NA,NA,274,30454,0.009,4.555714286
NA,NA,NA,236,28985,0.008057142857,4.118571429
NA,NA,NA,284,26632,0.01027142857,5.19
NA,NA,NA,254,25267,0.01021428571,4.401428571
NA,NA,NA,231,18609,0.01175714286,4.547142857
NA,NA,NA,254,19908,0.01224285714,4.632857143
NA,NA,NA,252,22647,0.01085714286,4.538571429
NA,NA,NA,253,21782,0.01127142857,4.858571429
NA,NA,NA,234,21281,0.011,4.618571429
NA,NA,NA,226,19757,0.01095714286,4.615714286
NA,NA,NA,222,20497,0.0102,4.588571429
NA,NA,NA,207,19870,0.009814285714,4.644285714
NA,NA,NA,227,17974,0.01217142857,4.887142857
NA,NA,NA,176,15697,0.01067142857,4.411428571
NA,NA,NA,148,14460,0.01008571429,4.567142857
NA,NA,NA,146,14089,0.009942857143,5.035714286
NA,NA,NA,194,16235,0.01152857143,5.125714286
NA,NA,NA,230,17227,0.01281428571,5.717142857
NA,NA,NA,219,18680,0.0108,5.514285714
NA,NA,NA,216,19229,0.0106,4.617142857
NA,NA,NA,221,17318,0.01177142857,5.147142857
NA,NA,NA,231,17767,0.01245714286,4.691428571
NA,NA,NA,242,17005,0.01358571429,5.037142857
NA,NA,NA,224,16424,0.01308571429,4.737142857
NA,NA,NA,227,16544,0.01281428571,5.027142857
NA,NA,NA,241,15694,0.0151,5.482857143
NA,NA,NA,265,16464,0.01535714286,5.065714286
NA,NA,NA,247,17993,0.01291428571,5.3
NA,NA,NA,242,19272,0.01201428571,5.755714286
NA,NA,NA,270,19008,0.01338571429,5.62
NA,NA,NA,286,19638,0.0141,5.282857143
NA,NA,NA,279,21849,0.01255714286,4.961428571
NA,NA,NA,314,24029,0.01281428571,4.504285714
NA,NA,NA,304,30024,0.009828571429,4.287142857
NA,NA,NA,224,25044,0.008571428571,4.357142857
NA,NA,NA,308,23291,0.01322857143,5.004285714
NA,NA,NA,323,25242,0.01294285714,4.998571429
NA,NA,NA,268,28174,0.009157142857,4.498571429
NA,NA,NA,302,27077,0.0108,4.611428571
NA,NA,NA,256,26780,0.009314285714,4.485714286
NA,NA,NA,338,29241,0.01117142857,4.442857143
NA,NA,NA,308,30918,0.009585714286,4.41
NA,NA,NA,297,30516,0.009485714286,4.182857143
NA,NA,NA,260,32829,0.007857142857,4.46
NA,NA,NA,316,40155,0.0077,4.312857143
NA,NA,NA,271,38896,0.006771428571,4.135714286
NA,NA,NA,265,38309,0.006842857143,4.347142857
NA,NA,NA,216,31073,0.006871428571,4.138571429
NA,NA,NA,197,29340,0.006385714286,4.701428571
NA,NA,NA,304,34379,0.008671428571,4.291428571
NA,NA,NA,263,33983,0.007571428571,4.658571429
NA,NA,NA,284,35639,0.007914285714,4.257142857
